DIA;MES;AÑO;TERMINAL;MONTO;RESPUESTA;MENSAJE;TRX;TARJETA;BIN
3;04;2010;AT18;75;1;2;1;4000030000004573;400003
15;11;2011;AT05;105;1;4;1;4010020000004524;401002
29;09;2010;AT01;75;1;1;1;4000010000002812;400001
11;01;2010;AT11;20;1;1;1;4000010000006227;400001
9;05;2010;AT18;70;1;1;1;4000040000005154;400004
11;03;2012;AT07;500;1;2;1;4010020000005549;401002
18;12;2012;AT12;15;1;1;1;4000010000002502;400001
18;11;2010;AT03;20;1;2;1;4000030000007262;400003
11;09;2011;AT25;250;1;3;1;4000010000009796;400001
9;06;2012;AT04;100;1;1;1;4000030000005117;400003
12;02;2012;AT17;450;1;5;1;4010020000001477;401002
25;07;2011;AT03;35;1;2;1;4000020000005926;400002
4;04;2011;AT14;35;1;1;1;4010020000002348;401002
7;04;2011;AT20;10;1;3;1;4010020000001355;401002
3;05;2012;AT07;55;1;2;1;4000040000009131;400004
22;09;2010;AT17;95;1;5;1;4000030000009509;400003
9;10;2012;AT18;125;1;3;1;4000040000006161;400004
21;04;2010;AT06;90;1;3;1;4010020000009878;401002
29;12;2011;AT20;375;1;2;1;4010010000008996;401001
15;04;2011;AT08;45;1;1;1;4010020000003339;401002
25;05;2012;AT03;500;1;1;1;4000010000009541;400001
1;01;2010;AT09;20;1;2;1;4000040000005156;400004
9;10;2012;AT16;75;1;5;1;4000020000005985;400002
28;08;2010;AT20;45;1;4;1;4000020000009005;400002
27;10;2012;AT17;115;1;2;1;4000020000005809;400002
7;04;2010;AT17;50;1;3;1;4000030000005143;400003
30;11;2011;AT08;80;1;3;1;4010020000007706;401002
21;01;2012;AT21;150;1;4;1;4010010000009897;401001
14;04;2010;AT19;80;1;2;1;4010020000007213;401002
15;05;2012;AT09;110;1;3;1;4000040000003426;400004
4;04;2012;AT01;65;1;1;1;4010020000004827;401002
7;05;2010;AT08;145;1;4;1;4000020000008280;400002
24;06;2012;AT02;375;1;2;1;4000040000003903;400004
12;03;2012;AT13;70;1;4;1;4000020000006442;400002
6;09;2011;AT02;25;1;4;1;4010020000007794;401002
19;07;2011;AT17;500;1;3;1;4010010000002806;401001
26;04;2010;AT03;375;1;2;1;4000030000004495;400003
20;07;2011;AT19;70;1;1;1;4010020000001683;401002
11;09;2010;AT15;115;1;4;1;4000010000002708;400001
27;01;2012;AT10;125;1;4;1;4000010000008458;400001
26;10;2012;AT06;125;1;1;1;4000030000001403;400003
2;12;2010;AT18;375;1;4;1;4000040000001805;400004
30;11;2010;AT16;200;1;2;1;4000020000009305;400002
28;09;2010;AT16;75;1;2;1;4010010000005576;401001
25;06;2010;AT11;75;1;4;1;4010020000005583;401002
22;02;2012;AT02;55;1;3;1;4000030000004819;400003
4;11;2011;AT25;80;1;2;1;4000040000007436;400004
26;10;2011;AT04;15;1;1;1;4010020000006691;401002
19;04;2010;AT11;100;1;2;1;4000030000001729;400003
27;09;2010;AT14;300;1;2;1;4000010000001255;400001
15;12;2011;AT13;75;1;1;1;4010020000005723;401002
30;04;2012;AT25;300;1;2;1;4000040000007390;400004
23;04;2010;AT25;200;1;5;1;4000020000006625;400002
24;07;2010;AT11;20;1;3;1;4000030000009546;400003
12;05;2010;AT17;250;1;2;1;4010010000006129;401001
19;04;2012;AT05;70;1;1;1;4000040000007985;400004
14;12;2010;AT07;60;1;3;1;4010010000002230;401001
16;04;2011;AT25;375;1;1;1;4000030000005011;400003
23;05;2012;AT05;15;1;2;1;4010010000003543;401001
23;06;2011;AT01;20;1;5;1;4000020000005473;400002
12;02;2012;AT22;105;1;4;1;4010020000006870;401002
22;04;2011;AT21;10;1;3;1;4000020000007383;400002
14;02;2012;AT09;40;1;1;1;4000020000009493;400002
5;01;2012;AT16;5;1;3;1;4000020000003103;400002
29;10;2010;AT16;500;1;4;1;4000030000005572;400003
19;03;2012;AT19;25;1;5;1;4000030000005076;400003
9;06;2012;AT16;70;1;4;1;4000040000005875;400004
5;04;2011;AT23;100;1;5;1;4000020000009492;400002
13;03;2012;AT09;50;1;4;1;4010010000005170;401001
11;09;2011;AT16;5;1;4;1;4000010000003328;400001
10;12;2010;AT11;135;1;3;1;4010010000001913;401001
17;02;2011;AT18;10;1;4;1;4000020000002437;400002
13;07;2010;AT20;145;1;4;1;4010010000007466;401001
15;01;2012;AT14;85;1;5;1;4000010000005746;400001
4;12;2010;AT12;105;1;4;1;4010010000008640;401001
24;04;2010;AT03;35;1;4;1;4010010000006309;401001
19;07;2010;AT22;20;1;5;1;4000020000001427;400002
25;11;2010;AT12;35;1;3;1;4000010000006656;400001
9;07;2011;AT09;75;1;4;1;4010020000006950;401002
20;05;2010;AT25;300;1;4;1;4010010000004486;401001
17;06;2011;AT11;40;1;1;1;4000010000001169;400001
26;04;2012;AT08;50;1;1;1;4000030000005315;400003
27;08;2012;AT08;10;1;2;1;4000030000008123;400003
30;03;2012;AT17;450;1;1;1;4010020000006023;401002
30;07;2011;AT13;110;1;4;1;4000030000005310;400003
15;11;2010;AT22;125;1;1;1;4000020000001065;400002
27;11;2010;AT23;85;1;3;1;4000010000003058;400001
